"filename", "language", "CMake", "C++", "YAML", "Dart", "Markdown", "JSON", "Swift", "XML", "HTML", "Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\login-modules\social_login_buttons.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\logo.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\reg-modules\admin-registration\admin_registration.dart", "Dart", 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 217
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\reg-modules\admin-registration\admin_widgets.dart", "Dart", 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 235
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\reg-modules\admin-registration\terms_and_conditions_admin.dart", "Dart", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\reg-modules\registration.dart", "Dart", 0, 0, 0, 349, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 371
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\reg-modules\terms_and_conditions_dialog.dart", "Dart", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 168
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\auth-modules\reg-modules\user_info_page.dart", "Dart", 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 313
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\dashboard-modules\dashboard.dart", "Dart", 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 101
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\dashboard-modules\dashboard_layout.dart", "Dart", 0, 0, 0, 366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 401
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\dashboard-modules\module-boxes\custom_layout.dart", "Dart", 0, 0, 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 118
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\dashboard-modules\module-boxes\emotion-dictionary\emotionDict.dart", "Dart", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 121
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\dashboard-modules\module-boxes\tracking-modules\camera_service.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 43
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\dashboard-modules\module-boxes\tracking-modules\database_service.dart", "Dart", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 36
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\dashboard-modules\module-boxes\tracking-modules\emotion_service.dart", "Dart", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\dashboard-modules\module-boxes\tracking-modules\model_service.dart", "Dart", 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 94
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\dashboard-modules\module-boxes\tracking-modules\track_emo_layout.dart", "Dart", 0, 0, 0, 625, 0, 0, 0, 0, 0, 0, 0, 0, 0, 111, 736
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\dashboard-modules\notifiaction_page.dart", "Dart", 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 171
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\dashboard-modules\profile_page.dart", "Dart", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 219
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\graph\bar_graph.dart", "Dart", 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 169
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\graph\emotion-chart\emotion_chart.dart", "Dart", 0, 0, 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 248
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\graph\emotion-chart\emotion_chart_data.dart", "Dart", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 90
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\graph\emotion-chart\emotion_dropdown.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\graph\pie_chart_widget.dart", "Dart", 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 144
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\main.dart", "Dart", 0, 0, 0, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 294
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\pose-detection\painters\coordinates_translator.dart", "Dart", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\pose-detection\painters\pose_painter.dart", "Dart", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 134
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\settings-modules\change_password_page.dart", "Dart", 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 205
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\settings-modules\delete_data_page.dart", "Dart", 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 132
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\settings-modules\developer_info_page.dart", "Dart", 0, 0, 0, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 122
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\settings-modules\edit_profile_page.dart", "Dart", 0, 0, 0, 328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 352
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\settings-modules\feedback_page.dart", "Dart", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 201
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\settings-modules\login_activity_page.dart", "Dart", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 91
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\settings-modules\notification_settings_page.dart", "Dart", 0, 0, 0, 155, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 179
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\settings-modules\privacy_settings_page.dart", "Dart", 0, 0, 0, 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 260
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\settings-modules\settings_page.dart", "Dart", 0, 0, 0, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 262
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\settings-modules\theme_settings_page.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 123
"d:\FINAL THESIS DEFENSE\fix-emotion\lib\splashScreen.dart", "Dart", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"d:\FINAL THESIS DEFENSE\fix-emotion\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 4, 27
"d:\FINAL THESIS DEFENSE\fix-emotion\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"d:\FINAL THESIS DEFENSE\fix-emotion\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"d:\FINAL THESIS DEFENSE\fix-emotion\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 1, 69
"d:\FINAL THESIS DEFENSE\fix-emotion\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"d:\FINAL THESIS DEFENSE\fix-emotion\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\FINAL THESIS DEFENSE\fix-emotion\pubspec.yaml", "YAML", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 87
"d:\FINAL THESIS DEFENSE\fix-emotion\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"d:\FINAL THESIS DEFENSE\fix-emotion\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 36
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\CMakeLists.txt", "CMake", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 109
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\flutter\CMakeLists.txt", "CMake", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 27
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\flutter\generated_plugins.cmake", "CMake", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\runner\CMakeLists.txt", "CMake", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\runner\flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\runner\flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\runner\main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\runner\resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\runner\utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\runner\utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\runner\win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"d:\FINAL THESIS DEFENSE\fix-emotion\windows\runner\win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 245, 452, 71, 9016, 29, 248, 66, 489, 38, 8, 109, 3, 180, 1354, 12308
